"LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","MoSold","SalePrice"
8450,7,5,2003,2003,706,0,150,856,854,0,1,0,2,1,3,1,8,0,2,548,0,2,208500
9600,6,8,1976,1976,978,0,284,1262,0,0,0,1,2,0,3,1,6,1,2,460,298,5,181500
11250,7,5,2001,2002,486,0,434,920,866,0,1,0,2,1,3,1,6,1,2,608,0,9,223500
9550,7,5,1915,1970,216,0,540,961,756,0,1,0,1,0,3,1,7,1,3,642,0,2,140000
14260,8,5,2000,2000,655,0,490,1145,1053,0,1,0,2,1,4,1,9,1,3,836,192,12,250000
14115,5,5,1993,1995,732,0,64,796,566,0,1,0,1,1,1,1,5,0,2,480,40,10,143000
10084,8,5,2004,2005,1369,0,317,1694,0,0,1,0,2,0,3,1,7,1,2,636,255,8,307000
10382,7,6,1973,1973,859,32,216,1107,983,0,1,0,2,1,3,1,7,2,2,484,235,11,2e+05
6120,7,5,1931,1950,0,0,952,1022,752,0,0,0,2,0,2,2,8,2,2,468,90,4,129900
7420,5,6,1939,1950,851,0,140,1077,0,0,1,0,1,0,2,2,5,2,1,205,0,1,118000
11200,5,5,1965,1965,906,0,134,1040,0,0,1,0,1,0,3,1,5,0,1,384,0,2,129500
11924,9,5,2005,2006,998,0,177,1182,1142,0,1,0,3,0,4,1,11,2,3,736,147,7,345000
12968,5,6,1962,1962,737,0,175,912,0,0,1,0,1,0,2,1,4,0,1,352,140,9,144000
10652,7,5,2006,2007,0,0,1494,1494,0,0,0,0,2,0,3,1,7,1,3,840,160,8,279500
10920,6,5,1960,1960,733,0,520,1253,0,0,1,0,1,1,2,1,5,1,1,352,0,5,157000
6120,7,8,1929,2001,0,0,832,854,0,0,0,0,1,0,2,1,5,0,2,576,48,7,132000
11241,6,7,1970,1970,578,0,426,1004,0,0,1,0,1,0,2,1,5,1,2,480,0,3,149000
10791,4,5,1967,1967,0,0,0,1296,0,0,0,0,2,0,2,2,6,0,2,516,0,10,90000
13695,5,5,2004,2004,646,0,468,1114,0,0,1,0,1,1,3,1,6,0,2,576,0,6,159000
7560,5,6,1958,1965,504,0,525,1339,0,0,0,0,1,0,3,1,6,0,1,294,0,5,139000
14215,8,5,2005,2006,0,0,1158,1158,1218,0,0,0,3,1,4,1,9,1,3,853,240,11,325300
7449,7,7,1930,1950,0,0,637,1108,0,0,0,0,1,0,3,1,6,1,1,280,0,6,139400
9742,8,5,2002,2002,0,0,1777,1795,0,0,0,0,2,0,3,1,7,1,2,534,171,9,230000
4224,5,7,1976,1976,840,0,200,1060,0,0,1,0,1,0,3,1,6,1,2,572,100,6,129900
8246,5,8,1968,2001,188,668,204,1060,0,0,1,0,1,0,3,1,6,1,1,270,406,5,154000
14230,8,5,2007,2007,0,0,1566,1600,0,0,0,0,2,0,3,1,7,1,3,890,0,7,256300
7200,5,7,1951,2000,234,486,180,900,0,0,0,1,1,0,3,1,5,0,2,576,222,5,134800
11478,8,5,2007,2008,1218,0,486,1704,0,0,1,0,2,0,3,1,7,1,3,772,0,5,306000
16321,5,6,1957,1997,1277,0,207,1600,0,0,1,0,1,0,2,1,6,2,1,319,288,12,207500
6324,4,6,1927,1950,0,0,520,520,0,0,0,0,1,0,1,1,4,0,1,240,49,5,68500
8500,4,4,1920,1950,0,0,649,649,668,0,0,0,1,0,3,1,6,0,1,250,0,7,40000
8544,5,6,1966,2006,0,0,1228,1228,0,0,0,0,1,1,3,1,6,0,1,271,0,6,149350
11049,8,5,2007,2007,0,0,1234,1234,0,0,0,0,2,0,3,1,7,0,2,484,0,1,179900
10552,5,5,1959,1959,1018,0,380,1700,0,0,0,1,1,1,4,1,6,1,2,447,0,4,165500
7313,9,5,2005,2005,1153,0,408,1561,0,0,1,0,2,0,2,1,6,1,2,556,203,8,277500
13418,8,5,2004,2005,0,0,1117,1132,1320,0,0,0,3,1,4,1,9,1,3,691,113,9,309000
10859,5,5,1994,1995,0,0,1097,1097,0,0,0,0,1,1,3,1,6,0,2,672,392,6,145000
8532,5,6,1954,1990,1213,0,84,1297,0,0,0,1,1,0,3,1,5,1,2,498,0,10,153000
7922,5,7,1953,2007,731,0,326,1057,0,0,1,0,1,0,3,1,5,0,1,246,0,1,109000
6040,4,5,1955,1955,0,0,0,1152,0,0,0,0,2,0,2,2,6,0,0,0,0,6,82000
8658,6,5,1965,1965,643,0,445,1324,0,0,0,0,2,0,3,1,6,1,2,440,0,12,160000
16905,5,6,1959,1959,967,0,383,1328,0,0,0,1,1,1,2,1,5,2,1,308,0,7,170000
9180,5,7,1983,1983,747,93,0,884,0,0,1,0,1,0,2,1,5,0,2,504,240,12,144000
9200,5,6,1975,1980,280,491,167,938,0,0,1,0,1,0,3,1,5,0,1,308,145,7,130250
7945,5,6,1959,1959,179,506,465,1150,0,0,1,0,1,0,3,1,6,0,1,300,0,5,141000
7658,9,5,2005,2005,456,0,1296,1752,0,0,1,0,2,0,2,1,6,1,2,576,196,2,319900
12822,7,5,2003,2003,1351,0,83,1518,631,0,1,0,1,1,1,1,6,1,2,670,168,8,239686
11096,8,5,2006,2006,24,0,1632,1656,0,0,0,0,2,0,3,1,7,0,3,826,0,7,249700
4456,4,5,1920,2008,0,0,736,736,716,0,0,0,2,0,2,3,8,0,0,0,0,6,113000
7742,5,7,1966,1966,763,0,192,955,0,0,1,0,1,0,3,1,6,0,1,386,0,1,127000
13869,6,6,1997,1997,182,0,612,794,676,0,0,1,2,0,3,1,6,0,2,388,0,7,177000
6240,6,6,1934,1950,0,0,816,816,0,360,0,0,1,0,3,1,6,1,2,528,112,9,114500
8472,5,5,1963,1963,104,712,0,816,0,0,1,0,1,0,2,1,5,0,2,516,106,5,110000
